PRODUCTO;CLASIFICACIÓN;PRESENTACIÓN;DESCRIPCIÓN P/WEB
ALQUILOLAMIDA DE COCO;MATERIAS PRIMAS ;;
ACIDO FOSFORICO X KG;MATERIAS PRIMAS ;;
COCOAMIDA PROPILBETAINA X KG;MATERIAS PRIMAS ;;
ESPESANTE PARA SUAVI (SULFATO DE SODIO);MATERIAS PRIMAS ;;
SULFATO DE ALUMINIO ;MATERIAS PRIMAS ;;
FLUORESCEÍNA ;MATERIAS PRIMAS ;;
ORTODICLORO DE BENCENO ;MATERIAS PRIMAS ;;
HDK;MATERIAS PRIMAS ;;
CENUSIL;MATERIAS PRIMAS ;;
CATALYST (CATALIZADOR);MATERIAS PRIMAS ;;
REVIVIDOR DE NEUMÁTICOS ;LÍNEA AUTOMOTOR ;X LT / X1 / X1/4 / X5 LTS;
REVIVIDOR DE INTERIORES ;LÍNEA AUTOMOTOR ;X LT / X1 / X1/4 / X5 LTS;
SHAMPOO PARA AUTOS ;LÍNEA AUTOMOTOR ;X LT / X 1 / X5 LTS;
CERA CON TEFLÓN;LÍNEA AUTOMOTOR ;X LT / X1 / X5 LTS / X1/4 C/ SPRAY;
LAVAMOTORES ;LÍNEA AUTOMOTOR ;X LT / X 1 / X5 LTS;
CLORO EN PASTILLAS 50 GRS X KG;LÍNEA PISCINA ;;
CLORO EN PASTILLAS 200 GRS X KG;LÍNEA PISCINA ;;
CLORO EN POLVO DISOLUCIÓN RAPIDA (60%);LÍNEA PISCINA ;;
CLORO GRANULADO DISOLUCIÓN LENTA (90%);LÍNEA PISCINA ;;
CLARIFICADOR ;LÍNEA PISCINA ;X LT / X 1 / X5 LTS;
ALGUICIDA ;LÍNEA PISCINA ;X LT / X 1 / X5 LTS;
REGULADOR DE pH ;LÍNEA PISCINA ;X10 LTS;
RESPUESTO SACAHOJAS PLANO ;LÍNEA PISCINA ;;
REPUESTO SACAHOJAS CON BOLSA;LÍNEA PISCINA ;;
PALO DE ALUMINIO (PARA SACAHOJAS);LÍNEA PISCINA ;;
PALO TELESCOPICO 3,6 MTS EXTENSIBLE;LÍNEA PISCINA ;;
BOYA HONGO ;LÍNEA PISCINA ;;
BOYA MINI HONGO;LÍNEA PISCINA ;;
BOYA SATELITE GRANDE;LÍNEA PISCINA ;;
BOYA SATELITE CHCIA ;LÍNEA PISCINA ;;
LIMPIAFONDO CEPILLO 1/2 LUNA;LÍNEA PISCINA ;;
LIMPIAFONDO 8 RUEDAS FLEXIBLE;LÍNEA PISCINA ;;
MANGUERA X MT;LÍNEA PISCINA ;;
TEST MEDIDOR DE pH;LÍNEA PISCINA ;;
ABS. MINERAL SAPONITA X 10 KG;CRUNCH OIL;;
ABS. MINERAL DIATOMEA X 25 KG;CRUNCH OIL;;
LOOSE FIBER BOLSA X 1 KG;CRUNCH OIL;;
LOOSE FIBER BOLSA X 6 KG;CRUNCH OIL;;
LOOSE FIBER BOLSA X 12 KG;CRUNCH OIL;;
PILLOW ABSORBENTE 50 x 40 cm (caja 12 un.);CRUNCH OIL;;
SOCK ABSORBENTE 250 x 7 cm (caja 6 un.);CRUNCH OIL;;
SOCK HEAVY DUTY 320 x 15 cm;CRUNCH OIL;;
FLOATING BOOM 250 x 10 cm (caja 4 un.);CRUNCH OIL;;
BOOM HEAVY DUTY 320 x 20 cm;CRUNCH OIL;;
PILLOW FLOTANTE 50 x 40 cm (caja 12 un.);CRUNCH OIL;;
PILLOW FLOTANTE 1 x 1 mt (caja 2 un);CRUNCH OIL;;
PAÑOS ABSORBENTES 0,5 x 0,5 (180 gr/m2) 100 un.;CRUNCH OIL;;
PAÑOS ABSORBENTES 1 x 1 mt(180 gr/m2) 100 un.;CRUNCH OIL;;
PAÑOS ABSORBENTES 0,5 x 0,5 (120 gr/m2) 100 un.;CRUNCH OIL;;
PAÑOS ABSORBENTES 1 x 1 mt(120 gr/m2) 100 un.;CRUNCH OIL;;
